kg: 0.0, value: 3.328
kg: 0.1, value: 0.512
kg: 0.2, value: 2.2
kg: 0.3, value: 2.1
kg: 0.4, value: 2.008
kg: 0.5, value: 1.912
kg: 0.6, value: 1.808
kg: 0.7, value: 1.668
kg: 0.8, value: 1.556
kg: 0.9, value: 1.432
kg: 1.0, value: 1.64
kg: 1.1, value: 1.56
kg: 1.2, value: 1.528
kg: 1.3, value: 1.48
kg: 1.4, value: 1.44
kg: 1.5, value: 1.344
kg: 1.6, value: 1.3
kg: 1.7, value: 1.192
kg: 1.8, value: 1.112
kg: 1.9, value: 1.088
kg: 2.0, value: 1.064
kg: 2.1, value: 0.884
kg: 2.2, value: 0.762
kg: 2.3, value: 0.736
kg: 2.4, value: 0.752
kg: 2.5, value: 0.704
kg: 2.6, value: 0.696
kg: 2.7, value: 0.664
kg: 2.8, value: 0.673
kg: 2.9, value: 0.7
kg: 3.0, value: 0.69
kg: 3.1, value: 0
kg: 3.2, value: 0
kg: 3.3, value: 0
kg: 3.4, value: 0
kg: 3.5, value: 0
kg: 3.6, value: 0
kg: 3.7, value: 0
kg: 3.8, value: 0
kg: 3.9, value: 0
kg: 4.0, value: 0
kg: 4.1, value: 0
kg: 4.2, value: 0
kg: 4.3, value: 0
kg: 4.4, value: 0
kg: 4.5, value: 0
kg: 4.6, value: 0
kg: 4.7, value: 0
kg: 4.8, value: 0
kg: 4.9, value: 0
kg: 5.0, value: 0
kg: 5.1, value: 0
kg: 5.2, value: 0
kg: 5.3, value: 0
kg: 5.4, value: 0
kg: 5.5, value: 0
kg: 5.6, value: 0
kg: 5.7, value: 0
kg: 5.8, value: 0
kg: 5.9, value: 0
kg: 6.0, value: 0
kg: 6.1, value: 0
kg: 6.2, value: 0
kg: 6.3, value: 0
kg: 6.4, value: 0
kg: 6.5, value: 0
kg: 6.6, value: 0
kg: 6.7, value: 0
kg: 6.8, value: 0
kg: 6.9, value: 0
kg: 7.0, value: 0
kg: 7.1, value: 0
kg: 7.2, value: 0
kg: 7.3, value: 0
kg: 7.4, value: 0
kg: 7.5, value: 0
kg: 7.6, value: 0
kg: 7.7, value: 0
kg: 7.8, value: 0
kg: 7.9, value: 0
kg: 8.0, value: 0
kg: 8.1, value: 0
kg: 8.2, value: 0
kg: 8.3, value: 0
kg: 8.4, value: 0
kg: 8.5, value: 0
kg: 8.6, value: 0
kg: 8.7, value: 0
kg: 8.8, value: 0
kg: 8.9, value: 0
kg: 9.0, value: 0
kg: 9.1, value: 0
kg: 9.2, value: 0
kg: 9.3, value: 0
kg: 9.4, value: 0
kg: 9.5, value: 0
kg: 9.6, value: 0
kg: 9.7, value: 0
kg: 9.8, value: 0
kg: 9.9, value: 0
